city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
Flagstaff,4903000000.0,68667.0,USA,1424563.0,,,,2017,Increased,,
Nashville and Davidson ,106695000000.0,678889.0,USA,13461292.0,,,,2017,Increased,,
Moscow ,,12330126.0,Russia,25680678.0,,,,2017,,,
Mérida,7111125.0,830732.0,Mexico,,,,,2017,,,
Stara Zagora,2244657.0,325963.0,Bulgaria,1104.0,,,,2017,,,
Tirana,,780531.0,Albania,610773.0,,,,2017,,,
Curitiba,79400000000.0,1751907.0,Brazil,4125853.0,,,,2017,Increased,,
Ibadan,16121000000.0,5591589.0,Nigeria,10000.0,,,,2017,,,
"St Catharines, ON",5562586779.0,131400.0,Canada,954541.0,,,,2017,This is our first year of calculation,,
San Antonio,93198982910.0,1469845.0,USA,16498864.0,,,,2017,This is our first year of calculation,,
Abington ,,55310.0,USA,615224.0,,,,2017,Decreased,,
"Lancaster, PA",,60000.0,USA,364181.0,,,,2017,Other:,,
"Tempe, AZ",198000000000.0,175826.0,USA,3187650.72,,,,2017,This is our first year of calculation,,
Rio Grande,35124.0,79765.0,Argentina,810086.0,,,,2017,This is our first year of calculation,,
San Luis Potosí,183992.0,824229.0,Mexico,27548711.0,,,,2017,Increased,,
Hjørring,19088026316.0,65308.0,Denmark,417000.0,,,,2017,Decreased,,
Durban,3300000000.0,3700000.0,South Africa,22154154.0,,,,2017,Decreased,,
Jakarta ,174824110.0,10155902.0,Indonesia,27780000.0,,,,2017,Decreased,,
Caracas,54000000000.0,3518590.0,Venezuela,17774776.0,,,,2017,Increased,,
Vitória,9421016.0,359555.0,Brazil,2798291.17,,,,2017,This is our first year of calculation,,
Betim,16409537.0,378089.0,Brazil,1763018.0,,,,2017,Increased,,
Faro,13231.0,61019.0,Portugal,246.0,,,,2017,Decreased,,
Santiago de Guayaquil,3187000000.0,2644891.0,Ecuador,6787374.0,,,,2017,This is our first year of calculation,,
Moroni,86740506.0,55541.0,Comoros,49285.0,,,,2017,This is our first year of calculation,,
Warsaw,226356000000.0,1629037.0,Poland,11721774.0,,,,2017,Decreased,,
"Columbia, MO",8025000000.0,119098.0,USA,3247578.0,,,,2017,Other:,,
Gibraltar,1637750000.0,33528.0,Gibraltar,263352.0,,,,2017,Decreased,,
Hvidovre,18709027233.0,52831.0,Denmark,219396.0,,,,2017,This is our first year of calculation,,
Yilan County,,458117.0,Taiwan,8691225.0,,,,2017,Stayed the same,,
Detroit,186000000000.0,688701.0,USA,10329322.0,,,,2017,Stayed the same,,
Ibagué,4.0,564077.0,Colombia,2330487.0,,,,2017,Increased,,
Torino,26933203382.0,892276.0,Italy,3496156.0,,,,2017,Decreased,,
"Miami Beach, FL",8475831683.0,91732.0,USA,1207364.0,,,,2017,This is our first year of calculation,,
Sorocaba,32600000000.0,652481.0,Brazil,1113971.0,,,,2017,Other: not rated yet,,
Córdoba,12302882987.0,1560900.0,Argentina,5099175.0,,,,2017,,,
Extrema,4676285000.0,33729.0,Brazil,131931.0,,,,2017,This is our first year of calculation,,
Amsterdam,64500000000.0,834713.0,Netherlands,4138000.0,,,,2017,Decreased,,
Aarhus,,,Denmark,,2030,100.0,2008,2017,,,
Abasan Al-Kabira,,,State of Palestine,6893.0,2020,6.0,2010,2017,,,Transport
Barcelona,,,Spain,,,,2008,2017,,,
Cuenca,,,Ecuador,60000.0,,,2017,2017,,,Waste
Sincelejo,,,Colombia,,,,,2017,,,
Auckland ,,,New Zealand,8892000.0,2050,50.0,1990,2017,,,Total
Madrid,,,Spain,12953000.0,2030,40.0,1990,2017,,,Total
Murcia,,,Spain,2141277.0,2020,20.0,2007,2017,,,Total
Bærum,,,Norway,227359.0,2030,40.0,2009,2017,,,Total
Bangkok ,,,Thailand,4550000.0,2020,,2013,2017,,,Waste
Barreiro,,,Portugal,347987.0,2020,20.0,2008,2017,,,Total
Basel-Stadt,,,Switzerland,,,,2001,2017,,,
Batangas,,,Philippines,,,,,2017,,,
Bogor ,,,Indonesia,2193642.0,2030,33.0,2014,2017,,,Total
Bogotá ,,,Colombia,16279278.0,2050,62.0,2008,2017,,,Total
Bornova ,,,Turkey,,,,,2017,,,
Byron Shire,,,Australia,263199.0,2025,100.0,2015,2017,,,Total
Canberra,,,Australia,3196800.0,2050,100.0,1990,2017,,,Total
Changwon ,,,South Korea,,,,,2017,,,Waste
